iter	Passed	Remaining
356	2625	1051
357	2631	1043
358	2637	1035
359	2643	1027
360	2648	1019
361	2654	1011
362	2660	1004
363	2666	996
364	2673	988
365	2679	981
366	2686	973
367	2693	966
368	2700	958
369	2706	951
370	2712	943
371	2719	935
372	2725	927
373	2732	920
374	2739	913
375	2745	905
376	2759	900
377	2770	894
378	2780	887
379	2790	881
380	2799	874
381	2809	867
382	2819	861
383	2827	854
384	2837	847
385	2847	840
386	2856	833
387	2865	827
388	2874	820
389	2882	813
390	2891	805
391	2899	798
392	2907	791
393	2915	784
394	2923	777
395	2930	769
396	2937	762
397	2945	754
398	2953	747
399	2962	740
400	2969	733
401	2977	725
402	2984	718
403	2992	711
404	3000	703
405	3008	696
406	3015	688
407	3022	681
408	3029	674
409	3037	666
410	3044	659
411	3051	651
412	3058	644
413	3065	636
414	3071	629
415	3078	621
416	3085	614
417	3092	606
418	3099	599
419	3105	591
